# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.817098732587448,4.431168361442269,0.13278970110491184,0,1.0,0.21640206497863124,180.0,0.0,0.0341891930202796
 0.20784408840399884,1.8386982571202504,4.431218420967883,0.13278970110491184,0.20784408840399884,1.0,0.21640206497863124,-179.99289397834343,3.119582773617213,0.2492982752258204
 0.29335187150897424,1.8601258138545227,4.431367843291993,0.39953830828938997,0.29335187150897424,1.0,0.21910592483219102,-179.97157703549698,4.108380409649408,0.5447024139044712
 0.3585700474104233,1.881382950499219,4.431615494035497,0.6674793845159726,0.35857004741042336,1.0000000000000009,0.221797975234932,-179.936052537653,4.923495095891181,0.9098302084229507
 0.4132246880797322,1.9024712147632934,4.431960238819294,0.9365712398190097,0.4132246880797323,1.0,0.2244757396470143,-179.88632609454157,5.644756874799416,1.3353700860843807
 0.461091969714401,1.9233921543556995,4.432400943264285,1.206770406904266,0.46109196971440103,1.0,0.22713665653665263,-179.82240555854446,6.305312344575996,1.8154954235635965
 0.5041130283606962,1.944147316985391,4.4329364729913685,1.4780316190634788,0.5041130283606962,0.9999999999999987,0.22977807983643964,-179.74430102345525,6.922747162431139,2.3461649419000308
 0.5434436819399788,1.9647382503613218,4.4335656936214445,1.75030778952602,0.5434436819399788,1.0,0.23239727947933972,-179.65202482288552,7.5076609869342095,2.9243838797790978
 0.5798387993199029,1.9851665021924463,4.434287470775411,2.0235499923941673,0.5798387993199029,1.0,0.23499144240792913,-179.545591528317,8.066969325915407,3.5478276205098362
 0.6138239853022273,2.005433620187718,4.435100670074171,2.297707445249108,0.6138239853022273,1.0,0.23755767345486456,-179.42501794680075,8.605431308944206,4.2146276313372235
 0.6457828771142203,2.025541152056091,4.436004157138619,2.5727274934471938,0.6457828771142203,1.0,0.24009299683688673,-179.290323118303,9.126446753066496,4.9232397135557555
 0.6760058226260318,2.0454906455065185,4.436996797589659,2.8485555963815714,0.6760058226260318,1.0,0.24259435751084668,-179.14152831269863,9.6325092418049,5.672357955974831
 0.704718976406257,2.0652836482479553,4.438077457048188,3.1251353155309562,0.704718976406257,1.0,0.24505862315083057,-178.97865702641224,10.125480933648788,6.460855874701762
 0.7321026622731489,2.0849217079893547,4.439245001135106,3.4024083046691977,0.7321026622731489,1.0,0.24748258603404122,-178.80173497870814,10.606767949446805,7.287744624245096
 0.7583034803485316,2.10440637243967,4.440498295471312,3.6803143020804527,0.7583034803485316,1.0,0.24986296537579192,-178.61079010762845,11.077437034566966,8.15214240763008
 0.7834425826604179,2.123739189307857,4.441836205677707,3.9587911250459102,0.783442582660418,1.0000000000000044,0.2521964099308106,-178.40585256558197,11.538295853999223,9.053251503903574
 0.8076215034498567,2.1429217063028676,4.44325759737519,4.237774666544868,0.8076215034498568,1.0,0.254479500734845,-178.1869547145822,11.989949887004299,9.990340636797809
 0.8309263738150611,2.161955471133657,4.4447613361846585,4.5171988943468,0.8309263738150612,1.0,0.25670875417629413,-177.9541311211374,12.432843756176224,10.962731187591219
 0.8534310367611635,2.1808420315091777,4.446346287727015,4.7969958525411,0.8534310367611637,1.0000000000000049,0.2588806253051742,-177.70741855079194,12.867291908130516,11.969786237880681
 0.8751993944655525,2.199582935138385,4.448011317623156,5.077095665484075,0.8751993944655527,1.0,0.2609915115177955,-177.44685596232068,13.293501845640732,13.010901737516976
 0.8962872073073601,2.2181797297302315,4.449755291493983,5.35742654441717,0.8962872073073603,1.0,0.2630377562794689,-177.17248450157678,13.711592016228488,14.085499296859645
 0.9167434936277444,2.2366339629936727,4.451577074960395,5.637914796609437,0.9167434936277447,1.0,0.2650156532722066,-176.88434749499464,14.121605820655402,15.193020240604735
 0.936611633567436,2.2549471826376606,4.4534755336432905,5.918484837227382,0.9366116335674363,1.0,0.26692145082583796,-176.58249044274774,14.523522739314645,16.33292065547542
 0.9559302501112662,2.273120936371151,4.455449533163571,6.199059203893799,0.9559302501112664,1.0,0.26875135633738956,-176.2669610115638,14.917267298702997,17.5046672315902
 0.974733920013196,2.291156771903096,4.457497939142133,6.479558574017464,0.9747339200131963,1.0,0.2705015413190457,-175.93780902719786,15.302716394647923,18.707733745319022
 0.9930537531527827,2.3090562369424505,4.45961961719988,6.75990178494983,0.9930537531527829,1.0,0.2721681463309438,-175.5950864665638,15.67970534397708,19.941598066606137
 1.0109178689496674,2.326820879198168,4.461813432957707,7.040005856875669,1.0109178689496676,1.0,0.2737472863936209,-175.23884744952701,16.048032965067403,21.205739599853267
 1.0283517913756395,2.3444522463792032,4.464078252036518,7.319786018678097,1.0283517913756397,1.0,0.2752350562600736,-174.8691482303578,16.407465873042067,22.499637086681506
 1.0453787789680715,2.3619518861945084,4.466412940057208,7.599155736521635,1.0453787789680717,1.0,0.27662753650788424,-174.48604718884866,16.757742180337907,23.822766713916348
 1.0620201024765625,2.3793213463530387,4.46881636264068,7.878026745416524,1.0620201024765628,1.0,0.27792079904497435,-174.08960482109507,17.098574700474508,25.17460048117228
 1.0782952799698011,2.3965621745637478,4.471287385407831,8.156309083548146,1.0782952799698013,1.0,0.27911091348368183,-173.67988372994262,17.429653772337282,26.5546047913111
 1.0942222771202086,2.413675918535589,4.473824873979562,8.433911129512751,1.0942222771202088,1.0,0.28019395320699597,-173.2569486151012,17.75064976659911,27.96223923378299
